cbsa_code,metro,total_spend,date,week_num,concert_week_num,concert_date
12420,"Austin-Round Rock-San Marcos, TX",119593.61,03jan2023,1,,
12420,"Austin-Round Rock-San Marcos, TX",97870.724,10jan2023,2,,
12420,"Austin-Round Rock-San Marcos, TX",141958.48,17jan2023,3,,
12420,"Austin-Round Rock-San Marcos, TX",103286.65,24jan2023,4,,
12420,"Austin-Round Rock-San Marcos, TX",114396.69,31jan2023,5,,
12420,"Austin-Round Rock-San Marcos, TX",119688.22,07feb2023,6,,
12420,"Austin-Round Rock-San Marcos, TX",118093.49,14feb2023,7,,
12420,"Austin-Round Rock-San Marcos, TX",177995.79,21feb2023,8,,
12420,"Austin-Round Rock-San Marcos, TX",155731.16,28feb2023,9,,
12420,"Austin-Round Rock-San Marcos, TX",166820.54,07mar2023,10,,
12420,"Austin-Round Rock-San Marcos, TX",200973.69,14mar2023,11,,
12420,"Austin-Round Rock-San Marcos, TX",135728.03,21mar2023,12,,
12420,"Austin-Round Rock-San Marcos, TX",171305.72,28mar2023,13,,
12420,"Austin-Round Rock-San Marcos, TX",122796.25,04apr2023,14,,
12420,"Austin-Round Rock-San Marcos, TX",117956.85,11apr2023,15,,
12420,"Austin-Round Rock-San Marcos, TX",129555.94,18apr2023,16,,
12420,"Austin-Round Rock-San Marcos, TX",109874.92,25apr2023,17,,
12420,"Austin-Round Rock-San Marcos, TX",114039.86,02may2023,18,,
12420,"Austin-Round Rock-San Marcos, TX",129098.74,09may2023,19,,
12420,"Austin-Round Rock-San Marcos, TX",105104.31,16may2023,20,,
12420,"Austin-Round Rock-San Marcos, TX",87104.014,23may2023,21,,
12420,"Austin-Round Rock-San Marcos, TX",144446.71,30may2023,22,,
12420,"Austin-Round Rock-San Marcos, TX",103665.9,06jun2023,23,,
12420,"Austin-Round Rock-San Marcos, TX",75484.743,13jun2023,24,,
12420,"Austin-Round Rock-San Marcos, TX",149101.19,20jun2023,25,,
12420,"Austin-Round Rock-San Marcos, TX",97264.368,27jun2023,26,,
12420,"Austin-Round Rock-San Marcos, TX",154816.1,04jul2023,27,,
12420,"Austin-Round Rock-San Marcos, TX",144493.9,11jul2023,28,,
12420,"Austin-Round Rock-San Marcos, TX",142330.97,18jul2023,29,,
12420,"Austin-Round Rock-San Marcos, TX",131636.49,25jul2023,30,,
