id,treat,takeup,outcome
1,0,0,.17675024
2,0,0,1.3889503
3,0,0,-.27158142
4,0,0,-.58254074
5,0,0,-1.1701031
6,0,0,.29251726
7,0,0,.21186522
8,0,0,.78679547
9,0,0,.15694728
10,0,0,.6363437
11,0,0,-.01520708
12,0,0,-.03701817
13,0,0,-.79485498
14,0,0,-.90449097
15,0,0,1.0230307
16,0,0,.87994939
17,0,0,.41750395
18,0,0,.2728024
19,0,0,.54742434
20,0,0,-.23845462
21,0,0,-1.0507953
22,0,0,-.86054984
23,0,0,-.04006702
24,0,0,.11254176
25,0,0,-.36882273
26,0,0,.39306502
27,0,0,-1.0524768
28,0,0,-.46359101
29,0,0,.0529019
30,0,0,-1.0901325
31,0,0,-.66862462
32,0,0,-.14974428
33,0,0,.47663628
34,0,0,-.18665292
35,0,0,.37149522
36,0,0,.66688482
37,0,0,-.39415602
38,0,0,.1541122
39,0,0,-.81034366
40,0,0,1.0152581
41,0,0,-.4360304
42,0,0,.21856566
43,0,0,.68583133
44,0,0,.00806094
45,0,0,-.10371812
46,0,0,-1.217278
47,0,0,.34794309
48,0,0,.13808813
49,0,0,-.00417355
50,0,0,.41426555
51,0,0,-.43351446
52,0,0,-1.0055003
53,0,0,-.28809536
54,0,0,-.60033444
55,0,0,-.91549726
56,0,0,.06305919
57,0,0,.82132491
58,0,0,-.44060177
59,0,0,.55332543
60,0,0,.57776154
61,0,0,-.02038963
62,0,0,.99896011
63,0,0,-.23587329
64,0,0,-.21900902
65,0,0,-.05896394
66,0,0,.00924247
67,0,0,.27920462
68,0,0,.79431074
69,0,0,-.47563052
70,0,0,.122367
71,0,0,.1022873
72,0,0,.71131367
73,0,0,-.0464898
74,0,0,.47531018
75,0,0,.04187298
76,0,0,.13253241
77,0,1,.74672164
78,0,0,.63033513
79,0,0,-.51383935
80,0,0,.24056219
81,0,0,.15159625
82,0,0,.83773807
83,0,0,.41382305
84,0,0,-.22009848
85,0,0,.50266719
86,0,0,.09957236
87,0,0,-.06248897
88,0,0,.24422079
89,0,0,1.2093593
90,0,0,.3897188
91,0,0,-.73416866
92,0,0,-.84852666
93,0,0,-.21566065
94,0,0,.46376949
95,0,0,-.11935844
96,0,0,.06682672
97,0,0,-.97690297
98,0,0,.53262821
99,0,0,-.14995401
100,0,0,.36546338
101,0,0,-.53912997
102,0,0,.36565354
