officer_id	assign_high_interest	offer_high_interest	interest_offer	accept_offer	charge_off
1	0	0	.0999231	1	.1962029
1	0	0	.0940486	1	.2436649
1	0	0	.0946086	1	.3049042
1	0	0	.0974469	1	.1983697
1	0	0	.0903483	1	.2035584
1	0	0	.0956594	1	.2722028
1	0	0	.096073	1	.2033769
1	0	0	.0994551	1	.2339769
1	0	0	.0960434	1	.2465445
1	0	0	.093987	1	.2858458
1	0	0	.0976695	1	.2367004
1	0	0	.0914329	1	.2653073
1	0	0	.0905797	1	.1997734
1	0	0	.0976716	1	.2518178
1	0	0	.0952246	1	.2338258
1	0	0	.0936229	1	.2064983
1	0	0	.0904687	1	.2316194
1	0	0	.0952034	1	.2377151
1	0	0	.0925235	1	.2330639
1	0	0	.0981517	1	.2357067
1	0	0	.0901561	1	.2228605
1	0	0	.0992927	1	.2733042
1	0	0	.0999798	1	.2240037
1	0	0	.0950193	1	.2299309
1	0	0	.0907592	1	.2259639
1	0	0	.0965657	1	.2269135
1	0	0	.0956334	1	.2136678
1	0	0	.0986233	1	.2284437
1	0	0	.0985673	1	.2263964
1	0	0	.0918781	1	.2121492
1	0	0	.0913871	1	.2168238
1	0	0	.0964077	1	.2009683
1	0	0	.0914398	1	.2508233
1	0	0	.0989217	1	.2280604
1	0	0	.0975277	1	.2231082
1	0	0	.0964962	1	.2925502
1	0	0	.0922511	1	.2777073
1	0	0	.0957996	1	.2433797
1	0	0	.090671	1	.2154053
1	0	0	.0919992	1	.212346
1	0	0	.0931934	1	.3047654
1	0	0	.0992198	1	.290935
1	0	0	.0918772	1	.1899824
1	0	0	.0943405	1	.2294902
1	0	0	.0910228	1	.2087887
1	0	0	.0931163	1	.3142846
1	0	0	.099167	1	.310684
1	0	0	.0965451	1	.2765561
1	0	0	.0964399	1	.2231543
1	0	0	.0986361	1	.1918917
1	0	0	.0998326	1	.1928482
1	0	0	.0909547	1	.2410554
1	0	0	.0950254	1	.203196
1	0	0	.0993099	1	.2258462
1	0	0	.0930406	1	.211078
1	0	0	.0951669	1	.2166149
1	0	0	.0916675	1	.2576994
1	0	0	.0950476	1	.2523984
1	0	0	.0990106	1	.2299214
1	0	0	.0933417	1	.1817028
1	0	0	.0917383	1	.1778851
1	0	0	.090675	1	.2664893
1	0	0	.0959208	1	.1989904
1	0	0	.0943196	1	.3210514
1	0	0	.096389	1	.2079514
1	0	0	.0960092	1	.2001534
1	0	0	.0938526	1	.1908753
1	0	0	.0990399	1	.189631
1	0	0	.0989774	1	.3017361
1	0	0	.0981608	1	.2362519
1	0	0	.095623	1	.235892
1	0	0	.098652	1	.2870256
1	0	0	.0954644	1	.2398448
1	0	0	.0934241	1	.2998762
1	0	0	.0954338	1	.2909334
1	0	0	.0910046	1	.2826339
1	0	0	.0932207	1	.2535225
1	0	0	.0997564	1	.192078
1	0	0	.0954236	1	.2044737
1	0	0	.0965121	1	.2647414
1	0	0	.0907756	1	.1997032
1	0	0	.0930886	1	.2487862
1	0	0	.0947105	1	.2179822
1	0	0	.098187	1	.1955859
1	0	0	.0920712	1	.2037963
1	0	0	.0906292	1	.1968416
1	0	0	.0982046	1	.306009
1	0	0	.0948025	1	.256127
1	0	0	.0968391	1	.2139751
1	0	0	.0950639	1	.3202317
1	0	0	.092586	1	.1840548
1	0	0	.0971884	1	.1876737
1	0	0	.096825	1	.2415952
1	0	0	.0973342	1	.2621454
1	0	0	.0937764	1	.2865957
1	0	0	.0904358	1	.2111537
1	0	0	.0994719	1	.2689666
1	0	0	.0916802	1	.3043627
1	0	0	.0985562	1	.2148222
1	0	0	.0911187	1	.220976
1	0	0	.0947066	1	.1905507
1	0	0	.0981266	1	.2829713
1	0	0	.0959169	1	.2091247
1	0	0	.094724	1	.1946869
1	0	0	.0901572	1	.2676945
1	0	0	.0959365	1	.2768648
1	0	0	.0904218	1	.2040432
1	0	0	.097982	1	.2791284
1	0	0	.0921195	1	.1814784
